NFR19,SNAP,Source,Activity
1A2gviii,3,Autogeneration - exported to grid,Natural gas
1A2gviii,3,Autogenerators,Biogas
1A2gviii,3,Autogenerators,Natural gas
1A2gviii,3,Industrial engines,Lubricants
1A2gviii,3,Other industrial combustion,Biomass
1A2gviii,3,Other industrial combustion,Burning oil
1A2gviii,3,Other industrial combustion,Coal
1A2gviii,3,Other industrial combustion,Coke
1A2gviii,3,Other industrial combustion,Coke oven gas
1A2gviii,3,Other industrial combustion,Colliery methane
1A2gviii,3,Other industrial combustion,Fuel oil
1A2gviii,3,Other industrial combustion,Gas oil
1A2gviii,3,Other industrial combustion,LPG
1A2gviii,3,Other industrial combustion,Lubricants
1A2gviii,3,Other industrial combustion,Natural gas
1A2gviii,3,Other industrial combustion,OPG
1A2gviii,3,Other industrial combustion,Petroleum coke
1A2gviii,3,Other industrial combustion,SSF
1A2gviii,3,Other industrial combustion,Town gas
1A2gviii,3,Other industrial combustion,Waste solvent
1A2gviii,3,Other industrial combustion,Wood
1A3a,8,Aircraft - domestic cruise,Aviation spirit
1A3a,8,Aircraft - domestic cruise,Aviation turbine fuel
1A3a,8,Aircraft - domestic take off and landing,Aviation spirit
1A3a,8,Aircraft - domestic take off and landing,Aviation turbine fuel
1A3a,8,Aircraft between UK and Bermuda - Cruise,Aviation spirit
1A3a,8,Aircraft between UK and Bermuda - Cruise,Aviation turbine fuel
1A3a,8,Aircraft between UK and Bermuda - TOL,Aviation spirit
1A3a,8,Aircraft between UK and Bermuda - TOL,Aviation turbine fuel
1A3a,8,Aircraft between UK and CDs - Cruise,Aviation spirit
1A3a,8,Aircraft between UK and CDs - Cruise,Aviation turbine fuel
1A3a,8,Aircraft between UK and CDs - TOL,Aviation spirit
1A3a,8,Aircraft between UK and CDs - TOL,Aviation turbine fuel
1A3a,8,Aircraft between UK and Gibraltar - Cruise,Aviation spirit
1A3a,8,Aircraft between UK and Gibraltar - Cruise,Aviation turbine fuel
1A3a,8,Aircraft between UK and Gibraltar - TOL,Aviation spirit
1A3a,8,Aircraft between UK and Gibraltar - TOL,Aviation turbine fuel
1A3a,8,Aircraft between UK and other OTs (excl Gib. and Bermuda) - Cruise,Aviation spirit
1A3a,8,Aircraft between UK and other OTs (excl Gib. and Bermuda) - Cruise,Aviation turbine fuel
1A3a,8,Aircraft between UK and other OTs (excl Gib. and Bermuda) - TOL,Aviation spirit
1A3a,8,Aircraft between UK and other OTs (excl Gib. and Bermuda) - TOL,Aviation turbine fuel
1A3ai(i),8,Aircraft - international take off and landing,Aviation spirit
1A3ai(i),8,Aircraft - international take off and landing,Aviation turbine fuel
1A3ai(i),8,Aircraft between UK and Bermuda - TOL,Aviation spirit
1A3ai(i),8,Aircraft between UK and Bermuda - TOL,Aviation turbine fuel
1A3ai(i),8,Aircraft between UK and CDs - TOL,Aviation spirit
1A3ai(i),8,Aircraft between UK and CDs - TOL,Aviation turbine fuel
1A3ai(i),8,Aircraft between UK and Gibraltar - TOL,Aviation spirit
1A3ai(i),8,Aircraft between UK and Gibraltar - TOL,Aviation turbine fuel
1A3ai(i),8,Aircraft between UK and other OTs (excl Gib. and Bermuda) - TOL,Aviation spirit
1A3ai(i),8,Aircraft between UK and other OTs (excl Gib. and Bermuda) - TOL,Aviation turbine fuel
1A3ai(i),8,Aircraft engines,Lubricants
1A3aii(i),8,Aircraft - domestic take off and landing,Aviation spirit
1A3aii(i),8,Aircraft - domestic take off and landing,Aviation turbine fuel
1A3bi,7,Road transport - cars - cold start,DERV
1A3bi,7,Road transport - cars - cold start,Petrol
1A3bi,7,Road transport - cars - motorway driving,DERV
1A3bi,7,Road transport - cars - motorway driving,Petrol
1A3bi,7,Road transport - cars - rural driving,DERV
1A3bi,7,Road transport - cars - rural driving,Petrol
1A3bi,7,Road transport - cars - urban driving,DERV
1A3bi,7,Road transport - cars - urban driving,Petrol
1A3bii,7,Road transport - LGVs - cold start,DERV
1A3bii,7,Road transport - LGVs - cold start,Petrol
1A3bii,7,Road transport - LGVs - motorway driving,DERV
1A3bii,7,Road transport - LGVs - motorway driving,Petrol
1A3bii,7,Road transport - LGVs - rural driving,DERV
1A3bii,7,Road transport - LGVs - rural driving,Petrol
1A3bii,7,Road transport - LGVs - urban driving,DERV
1A3bii,7,Road transport - LGVs - urban driving,Petrol
1A3biii,7,Road transport - buses and coaches - motorway driving,DERV
1A3biii,7,Road transport - buses and coaches - rural driving,DERV
1A3biii,7,Road transport - buses and coaches - urban driving,DERV
1A3biii,7,Road transport - HGV articulated - motorway driving,DERV
1A3biii,7,Road transport - HGV articulated - rural driving,DERV
1A3biii,7,Road transport - HGV articulated - urban driving,DERV
1A3biii,7,Road transport - HGV rigid - motorway driving,DERV
1A3biii,7,Road transport - HGV rigid - rural driving,DERV
1A3biii,7,Road transport - HGV rigid - urban driving,DERV
1A3biv,7,Road transport - mopeds (<50cc 2st) - urban driving,Lubricants
1A3biv,7,Road transport - mopeds (<50cc 2st) - urban driving,Petrol
1A3biv,7,Road transport - motorcycle (>50cc  2st) - rural driving,Petrol
1A3biv,7,Road transport - motorcycle (>50cc  2st) - urban driving,Petrol
1A3biv,7,Road transport - motorcycle (>50cc  4st) - motorway driving,Petrol
1A3biv,7,Road transport - motorcycle (>50cc  4st) - rural driving,Petrol
1A3biv,7,Road transport - motorcycle (>50cc  4st) - urban driving,Petrol
1A3bv,7,Road transport - all vehicles biofuels use,Biodiesel
1A3bv,7,Road transport - all vehicles biofuels use,Bio-MTBE
1A3bv,7,Road transport - all vehicles LPG use,LPG
1A3bv,7,Road transport - cars - evaporative,Petrol
1A3bv,7,Road transport - LGVs - evaporative,Petrol
1A3bv,7,Road transport - mopeds (<50cc 2st) - evaporative,Petrol
1A3bv,7,Road transport - motorcycle (>50cc  2st) - evaporative,Petrol
1A3bv,7,Road transport - motorcycle (>50cc  4st) - evaporative,Petrol
1A3bvi,7,Road transport - buses and coaches - motorway driving,Brake wear
1A3bvi,7,Road transport - buses and coaches - motorway driving,Tyre wear
1A3bvi,7,Road transport - buses and coaches - rural driving,Brake wear
1A3bvi,7,Road transport - buses and coaches - rural driving,Tyre wear
1A3bvi,7,Road transport - buses and coaches - urban driving,Brake wear
1A3bvi,7,Road transport - buses and coaches - urban driving,Tyre wear
1A3bvi,7,Road transport - cars - motorway driving,Brake wear
1A3bvi,7,Road transport - cars - motorway driving,Tyre wear
1A3bvi,7,Road transport - cars - rural driving,Brake wear
1A3bvi,7,Road transport - cars - rural driving,Tyre wear
1A3bvi,7,Road transport - cars - urban driving,Brake wear
1A3bvi,7,Road transport - cars - urban driving,Tyre wear
1A3bvi,7,Road transport - HGV articulated - motorway driving,Brake wear
1A3bvi,7,Road transport - HGV articulated - motorway driving,Tyre wear
1A3bvi,7,Road transport - HGV articulated - rural driving,Brake wear
1A3bvi,7,Road transport - HGV articulated - rural driving,Tyre wear
1A3bvi,7,Road transport - HGV articulated - urban driving,Brake wear
1A3bvi,7,Road transport - HGV articulated - urban driving,Tyre wear
1A3bvi,7,Road transport - HGV rigid - motorway driving,Brake wear
1A3bvi,7,Road transport - HGV rigid - motorway driving,Tyre wear
1A3bvi,7,Road transport - HGV rigid - rural driving,Brake wear
1A3bvi,7,Road transport - HGV rigid - rural driving,Tyre wear
1A3bvi,7,Road transport - HGV rigid - urban driving,Brake wear
1A3bvi,7,Road transport - HGV rigid - urban driving,Tyre wear
1A3bvi,7,Road transport - LGVs - motorway driving,Brake wear
1A3bvi,7,Road transport - LGVs - motorway driving,Tyre wear
1A3bvi,7,Road transport - LGVs - rural driving,Brake wear
1A3bvi,7,Road transport - LGVs - rural driving,Tyre wear
1A3bvi,7,Road transport - LGVs - urban driving,Brake wear
1A3bvi,7,Road transport - LGVs - urban driving,Tyre wear
1A3bvi,7,Road transport - mopeds (<50cc 2st) - urban driving,Brake wear
1A3bvi,7,Road transport - mopeds (<50cc 2st) - urban driving,Tyre wear
1A3bvi,7,Road transport - motorcycle (>50cc  2st) - rural driving,Brake wear
1A3bvi,7,Road transport - motorcycle (>50cc  2st) - rural driving,Tyre wear
1A3bvi,7,Road transport - motorcycle (>50cc  2st) - urban driving,Brake wear
1A3bvi,7,Road transport - motorcycle (>50cc  2st) - urban driving,Tyre wear
1A3bvi,7,Road transport - motorcycle (>50cc  4st) - motorway driving,Brake wear
1A3bvi,7,Road transport - motorcycle (>50cc  4st) - motorway driving,Tyre wear
1A3bvi,7,Road transport - motorcycle (>50cc  4st) - rural driving,Brake wear
1A3bvi,7,Road transport - motorcycle (>50cc  4st) - rural driving,Tyre wear
1A3bvi,7,Road transport - motorcycle (>50cc  4st) - urban driving,Brake wear
1A3bvi,7,Road transport - motorcycle (>50cc  4st) - urban driving,Tyre wear
1A3bvii,7,Road transport - buses and coaches - motorway driving,Road abrasion
1A3bvii,7,Road transport - buses and coaches - rural driving,Road abrasion
1A3bvii,7,Road transport - buses and coaches - urban driving,Road abrasion
1A3bvii,7,Road transport - cars - motorway driving,Road abrasion
1A3bvii,7,Road transport - cars - rural driving,Road abrasion
1A3bvii,7,Road transport - cars - urban driving,Road abrasion
1A3bvii,7,Road transport - HGV articulated - motorway driving,Road abrasion
1A3bvii,7,Road transport - HGV articulated - rural driving,Road abrasion
1A3bvii,7,Road transport - HGV articulated - urban driving,Road abrasion
1A3bvii,7,Road transport - HGV rigid - motorway driving,Road abrasion
1A3bvii,7,Road transport - HGV rigid - rural driving,Road abrasion
1A3bvii,7,Road transport - HGV rigid - urban driving,Road abrasion
1A3bvii,7,Road transport - LGVs - motorway driving,Road abrasion
1A3bvii,7,Road transport - LGVs - rural driving,Road abrasion
1A3bvii,7,Road transport - LGVs - urban driving,Road abrasion
1A3bvii,7,Road transport - mopeds (<50cc 2st) - urban driving,Road abrasion
1A3bvii,7,Road transport - motorcycle (>50cc  2st) - rural driving,Road abrasion
1A3bvii,7,Road transport - motorcycle (>50cc  2st) - urban driving,Road abrasion
1A3bvii,7,Road transport - motorcycle (>50cc  4st) - motorway driving,Road abrasion
1A3bvii,7,Road transport - motorcycle (>50cc  4st) - rural driving,Road abrasion
1A3bvii,7,Road transport - motorcycle (>50cc  4st) - urban driving,Road abrasion
1A3c,8,Rail - coal,Coal
1A3c,8,Railways - freight,Gas oil
1A3c,8,Railways - intercity,Gas oil
1A3c,8,Railways - regional,Gas oil
1A3d,8,Inland goods-carrying vessels,DERV
1A3d,8,Inland goods-carrying vessels,Gas oil
1A3d,8,Inland goods-carrying vessels,Petrol
1A3d,8,"Motorboats / workboats (e.g. canal boats, dredgers, service boats, tourist boats, river boats)",DERV
1A3d,8,"Motorboats / workboats (e.g. canal boats, dredgers, service boats, tourist boats, river boats)",Gas oil
1A3d,8,"Motorboats / workboats (e.g. canal boats, dredgers, service boats, tourist boats, river boats)",Petrol
1A3d,8,Personal watercraft e.g. jet ski,DERV
1A3d,8,Personal watercraft e.g. jet ski,Gas oil
1A3d,8,Personal watercraft e.g. jet ski,Petrol
1A3d,8,Sailing boats with auxiliary engines,DERV
1A3d,8,Sailing boats with auxiliary engines,Gas oil
1A3d,8,Sailing boats with auxiliary engines,Petrol
1A3d,8,Shipping - coastal,Fuel oil
1A3d,8,Shipping - coastal,Gas oil
1A3d,8,Shipping between UK and Bermuda,Fuel oil
1A3d,8,Shipping between UK and CDs,Fuel oil
1A3d,8,Shipping between UK and CDs,Gas oil
1A3d,8,Shipping between UK and Gibraltar,Fuel oil
1A3d,8,Shipping between UK and OTs (excl. Gib and Bermuda),Fuel oil
1A3dii,8,Inland goods-carrying vessels,DERV
1A3dii,8,Inland goods-carrying vessels,Gas oil
1A3dii,8,Inland goods-carrying vessels,Petrol
1A3dii,8,Marine engines,Lubricants
1A3dii,8,"Motorboats / workboats (e.g. canal boats, dredgers, service boats, tourist boats, river boats)",DERV
1A3dii,8,"Motorboats / workboats (e.g. canal boats, dredgers, service boats, tourist boats, river boats)",Gas oil
1A3dii,8,"Motorboats / workboats (e.g. canal boats, dredgers, service boats, tourist boats, river boats)",Petrol
1A3dii,8,Personal watercraft e.g. jet ski,DERV
1A3dii,8,Personal watercraft e.g. jet ski,Gas oil
1A3dii,8,Personal watercraft e.g. jet ski,Petrol
1A3dii,8,Sailing boats with auxiliary engines,DERV
1A3dii,8,Sailing boats with auxiliary engines,Gas oil
1A3dii,8,Sailing boats with auxiliary engines,Petrol
1A3dii,8,Shipping - coastal,Fuel oil
1A3dii,8,Shipping - coastal,Gas oil
1A3dii,8,Shipping between UK and Bermuda,Fuel oil
1A3dii,8,Shipping between UK and CDs,Fuel oil
1A3dii,8,Shipping between UK and CDs,Gas oil
1A3dii,8,Shipping between UK and Gibraltar,Fuel oil
1A3dii,8,Shipping between UK and OTs (excl. Gib and Bermuda),Fuel oil
1A3eii,8,Aircraft - support vehicles,Gas oil
1A4ai,2,Miscellaneous industrial/commercial combustion,Coal
1A4ai,2,Miscellaneous industrial/commercial combustion,Coke
1A4ai,2,Miscellaneous industrial/commercial combustion,Fuel oil
1A4ai,2,Miscellaneous industrial/commercial combustion,Gas oil
1A4ai,2,Miscellaneous industrial/commercial combustion,LPG
1A4ai,2,Miscellaneous industrial/commercial combustion,Natural gas
1A4ai,2,Miscellaneous industrial/commercial combustion,SSF
1A4ai,2,Miscellaneous industrial/commercial combustion,Town gas
1A4ai,2,Public sector combustion,Burning oil
1A4ai,2,Public sector combustion,Coal
1A4ai,2,Public sector combustion,Coke
1A4ai,2,Public sector combustion,Fuel oil
1A4ai,2,Public sector combustion,Gas oil
1A4ai,2,Public sector combustion,Natural gas
1A4ai,2,Public sector combustion,Town gas
1A4ai,2,Railways - stationary combustion,Burning oil
1A4ai,2,Railways - stationary combustion,Coal
1A4ai,2,Railways - stationary combustion,Coke
1A4ai,2,Railways - stationary combustion,Fuel oil
1A4ai,2,Railways - stationary combustion,Natural gas
1A4bi,2,Domestic combustion,Anthracite
1A4bi,2,Domestic combustion,Burning oil
1A4bi,2,Domestic combustion,Charcoal
1A4bi,2,Domestic combustion,Coal
1A4bi,2,Domestic combustion,Coke
1A4bi,2,Domestic combustion,Fuel oil
1A4bi,2,Domestic combustion,Gas oil
1A4bi,2,Domestic combustion,LPG
1A4bi,2,Domestic combustion,Natural gas
1A4bi,2,Domestic combustion,Peat
1A4bi,2,Domestic combustion,Petroleum coke
1A4bi,2,Domestic combustion,SSF
1A4bi,2,Domestic combustion,Town gas
1A4bi,2,Domestic combustion,Wood
1A4bi,2,Solid smokeless fuel production,Petroleum coke
1A4bii,8,House and garden machinery,DERV
1A4bii,8,House and garden machinery,Petrol
1A4ci,2,Agriculture - stationary combustion,Burning oil
1A4ci,2,Agriculture - stationary combustion,Coal
1A4ci,2,Agriculture - stationary combustion,Coke
1A4ci,2,Agriculture - stationary combustion,Fuel oil
1A4ci,2,Agriculture - stationary combustion,Natural gas
1A4ci,2,Agriculture - stationary combustion,Straw
1A4ci,2,Agriculture - stationary combustion,Vaporising oil
1A4cii,8,Agricultural engines,Lubricants
1A4cii,8,Agriculture - mobile machinery,Gas oil
1A4cii,8,Agriculture - mobile machinery,Petrol
1A4ciii,8,Fishing vessels,Fuel oil
1A4ciii,8,Fishing vessels,Gas oil
1A5b,8,Aircraft -  military,Aviation spirit
1A5b,8,Aircraft -  military,Aviation turbine fuel
1A5b,8,Shipping - naval,Gas oil
1B1a,5,Deep-mined coal,Coal produced
1B1a,5,Open-cast coal,Coal produced
1B1a1i,5,Deep-mined coal,Coal produced
1B1a1ii,5,Coal storage and transport,Deep mined coal production
1B1a1iii,5,Closed Coal Mines,Non-fuel combustion
1B1a2i,5,Open-cast coal,Coal produced
1B1b,5,Charcoal production,Charcoal produced
1B1b,5,Coke production,Coal
1B1b,5,Coke production,Coke produced
1B1b,5,Iron and steel - flaring,Coke oven gas
1B1b,5,Solid smokeless fuel production,Coal
1B1b,5,Solid smokeless fuel production,Petroleum coke
1B1b,5,Solid smokeless fuel production,SSF produced
1B2a1,5,Upstream Oil Production - Offshore Well Testing,Exploration drilling :amount of gas flared
1B2a2,5,Petroleum processes,Oil production
1B2a2,5,Upstream Oil Production - process emissions,Non-fuel combustion
1B2a3,5,Upstream Oil Production - Offshore Oil Loading,Crude oil
1B2a3,5,Upstream Oil Production - Onshore Oil Loading,Crude oil
1B2a4,5,Upstream Oil Production - Oil terminal storage,Non-fuel combustion
1B2ai,5,Petroleum processes,Oil production
1B2ai,5,Upstream Oil Production - Offshore Oil Loading,Crude oil
1B2ai,5,Upstream Oil Production - Offshore Well Testing,Exploration drilling :amount of gas flared
1B2ai,5,Upstream Oil Production - Oil terminal storage,Non-fuel combustion
1B2ai,5,Upstream Oil Production - Onshore Oil Loading,Crude oil
1B2ai,5,Upstream Oil Production - process emissions,Non-fuel combustion
1B2aiv,4,Refineries - drainage,Process emission
1B2aiv,4,Refineries - general,Process emission
1B2aiv,4,Refineries - process,Process emission
1B2aiv,4,Refineries - tankage,Process emission
1B2av,5,Petrol stations - petrol delivery,Petrol (leaded)
1B2av,5,Petrol stations - petrol delivery,Petrol (unleaded)
1B2av,5,Petrol stations - spillages,Petrol (leaded)
1B2av,5,Petrol stations - spillages,Petrol (unleaded)
1B2av,5,Petrol stations - storage tanks,Petrol (leaded)
1B2av,5,Petrol stations - storage tanks,Petrol (unleaded)
1B2av,5,Petrol stations - vehicle refuelling,Petrol (leaded)
1B2av,5,Petrol stations - vehicle refuelling,Petrol (unleaded)
1B2av,5,Petrol terminals - storage,Petrol (leaded)
1B2av,5,Petrol terminals - storage,Petrol (unleaded)
1B2av,5,Petrol terminals - tanker loading,Petrol (leaded)
1B2av,5,Petrol terminals - tanker loading,Petrol (unleaded)
1B2av,5,Refineries - road/rail loading,Petrol (leaded)
1B2av,5,Refineries - road/rail loading,Petrol (unleaded)
1B2av,5,Sea going vessel loading,Petrol (leaded)
1B2av,5,Sea going vessel loading,Petrol (unleaded)
1B2b,5,Gas leakage,Natural Gas (leakage at point of use)
1B2b,5,Gas leakage,Natural Gas (transmission leakage)
1B2b,5,Gas leakage,Natural gas supply
1B2b,5,Gasification processes,Gas production (onshore)
1B2b,5,Upstream Gas Production - Gas terminal storage,Non-fuel combustion
1B2b,5,Upstream Gas Production - Offshore Well Testing,Exploration drilling :amount of gas flared
1B2b,5,Upstream Gas Production - process emissions,Non-fuel combustion
1B2b1,5,Upstream Gas Production - Offshore Well Testing,Exploration drilling :amount of gas flared
1B2b3,5,Upstream Gas Production - process emissions,Non-fuel combustion
1B2b4,5,Gas leakage,Natural Gas (transmission leakage)
1B2b4,5,Upstream Gas Production - Gas terminal storage,Non-fuel combustion
1B2b5,5,Gas leakage,Natural Gas (leakage at point of use)
1B2b5,5,Gas leakage,Natural gas supply
1B2c,9,Refineries - flares,Process emission
1B2c,9,Upstream Gas Production - flaring,Non-fuel combustion
1B2c,9,Upstream Gas Production - venting,Non-fuel combustion
1B2c,9,Upstream Oil Production - flaring,Non-fuel combustion
1B2c,9,Upstream Oil Production - venting,Non-fuel combustion
1B2c1i,5,Upstream Oil Production - venting,Non-fuel combustion
1B2c1ii,5,Upstream Gas Production - venting,Non-fuel combustion
1B2c2i,5,Upstream Oil Production - flaring,Non-fuel combustion
1B2c2ii,5,Upstream Gas Production - flaring,Non-fuel combustion
2A1,4,Cement - decarbonising,Clinker production
2A1,4,Slag clement production,Slag cement production
2A2,4,Lime production - decarbonising,Limestone
2A3,4,Glass - container,Glass (container)
2A3,4,Glass - continuous filament glass fibre,Glass (glass fibre)
2A3,4,Glass - domestic,Glass (domestic)
2A3,4,Glass - flat,Glass (flat)
2A3,4,Glass - frits,Glass (frits)
2A3,4,Glass - general,Dolomite
2A3,4,Glass - general,Glass-making additives
2A3,4,Glass - general,Limestone
2A3,4,Glass - general,Soda ash
2A3,4,Glass - glass wool,Glass (glass wool)
2A3,4,Glass - lead crystal,Glass (lead crystal)
2A3,4,Glass - special,Glass (special)
2A3,4,Glass – ballotini,Glass (ballotini)
2A4a,3,Brick manufacture - all types,Bricks
2A4a,3,Brick manufacture - Fletton,Fletton bricks
2A4b,,Non Energy Use: chemical feedstock,Soda ash
2A4b,,Other emissive applications of Soda Ash,Soda ash
2A4d,3,Bread baking,Sodium Bicarbonate
2A4d,3,Flue Gas Treatment (neutralisation),Sodium Bicarbonate
